"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"EXFO","EXFO Inc","8.64","246438720","n/a","Capital Goods","Electrical Products","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=EXFO&selected=EXFO",
"XIDE","Exide Technologies","9.89","765495890","n/a","Energy","Industrial Machinery/Components","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=XIDE&selected=XIDE",
"XIDEW","Exide Technologies","0.006","37500","n/a","Energy","Industrial Machinery/Components","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=XIDEW&selected=XIDEW",
"EXLS","ExlService Holdings, Inc.","19.57","578508770","2006","Miscellaneous","Business Services","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=EXLS&selected=EXLS",
"EXPE","Expedia, Inc.","23.66","5878587260","1999","Consumer Services","Transportation Services","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=EXPE&selected=EXPE",
"EXPD","Expeditors International of Washington, Inc.","51.43","10913343140","n/a","Transportation","Oil Refining/Marketing","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=EXPD&selected=EXPD",
"EXPO","Exponent, Inc.","42.88","601949440","1985","Consumer Services","Professional Services","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=EXPO&selected=EXPO",
"ESRX","Express Scripts, Inc.","55.44","29288064960","1992","Health Care","Medical/Nursing Services","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ESRX&selected=ESRX",
"EXLP","Exterran Partners, L.P.","28.4","776853600","n/a","Public Utilities","Natural Gas Distribution","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=EXLP&selected=EXLP",
"EXTR","Extreme Networks, Inc.","3","274332000","1999","Technology","Computer Communications Equipment","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=EXTR&selected=EXTR",
"EZCH","EZchip Semiconductor Limited","28.43","749727530","n/a","Technology","Computer Communications Equipment","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=EZCH&selected=EZCH",
"EZPW","EZCORP, Inc.","28.91","1357382320","1991","Consumer Services","Other Specialty Stores","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=EZPW&selected=EZPW",
"FFIV","F5 Networks, Inc.","94.69","7645933430","1999","Technology","Computer Communications Equipment","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=FFIV&selected=FFIV",
"FRP","FairPoint Communications, Inc.","16.58","435274740","1986","Public Utilities","Telecommunications Equipment","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=FRP&selected=FRP",
"FALC","FalconStor Software, Inc.","4.16","192229440","n/a","Technology","Computer Software: Prepackaged Software","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=FALC&selected=FALC",
"DAVE","Famous Dave's of America, Inc.","9.69","78285510","n/a","Consumer Services","Restaurants","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=DAVE&selected=DAVE",
"FARM","Farmer Brothers Company","10.99","178125920","n/a","Consumer Non-Durables","Packaged Foods","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=FARM&selected=FARM",
"FFKT","Farmers Capital Bank Corporation","6.9","51142800","n/a","Finance","Major Banks","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=FFKT&selected=FFKT",
